,processed_tweet,label_enc
0,china pneumonia outbreak sars cnn,0
1,new virus identified likely cause mystery illness china,1
2,china pneumonia outbreak may caused karyotype virus science guardian,0
3,new sars related virus wuhan pneumonia identified chinas mysterious pneumonia outbreak cnn,0
4,chinas marshlike illness worries health experts world news guardian,0
5,mystery virus found wuhan resembles bat viruses sars chinese scientist says science haas,1
6,disease x mysterious outbreak china could new form virus science news expresscouk,0
7,chinese researchers reveal draft genome virus implicated wuhan pneumonia outbreak science haas,1
8,update 2who says new china coronavirus could spread warns hospitals worldwide,1
9,global health threat pandemic inevitable says world news expresscouk,0
10,says new china virus could spread warning hospitals,1
11,china coronavirus outbreak first case reported outside china deadly world news expresscouk,0
12,chinas new sarslike coronavirus spread japan still know little cnn,0
13,china news flu epidemic fears grow deadly coronavirus spreads china japan world news expresscouk,0
14,coronavirus outbreak us state department issues travel alert outbreak spreads world news expresscouk,0
15,coronavirus second death sarslike illness wuhan china cnn,0
16,briefcdc says public health screening begin 3 us airports 2019 novel coronavirus,1
17,china virus us begins screening travelers second coronavirus death world news expresscouk,0
18,cdc homeland security begins screening coronavirus major us airports,1
19,coronavirus cases could grossly underestimated study says cnn,0
20,major asian markets mostly rise china keeps loan prime rate unchanged,1
21,coronavirus china reports 17 new cases marshlike mystery virus world news guardian,0
22,coronavirus china confirms new cases virus spreads new cities,1
23,coronavirus warning outbreak hits shanghai cases soar tourism warning world news expresscouk,0
24,new virus surging asia rattles scientists,1
25,new china virus cases triple infection spreads beijing shanghai bbc news,0
26,emergency committee coronavirus meet wednesday reuters,1
27,virus spreads chinese cities calls emergency meeting reuters,1
28,china confirms humantohuman transmission coronavirus world news guardian,0
29,dog food alert food standards authority issues immediate recall salmonella found uk news expresscouk,0
30,china coronavirus outbreak china virus threatens repeat 2002 sars pandemic science news expresscouk,0
31,coronavirus covid19 explained cnn,0
32,china confirms new coronavirus spread humans cnn,0
33,wuhans pneumonia new cases amid china travel season ahead lunar new year,1
34,china stocks end higher tourism shares tumble coronavirus spreads,1
35,hong kong stocks fall ahead chinese new year weak sentiment,1
36,china coronavirus latest humantohuman transmission confirmed,1
37,wuhans virus shares china drugmakers rise amid pneumonia concerns,1
38,pharmaceutical stocks spike china reports new coronavirus cases asian market latest cnn,0
39,new china coronavirus spooks global markets,1
40,dow falls 100 points amid first us case coronavirus big decline boeing,1
41,china coronavirus know outbreak,1
42,stocks making biggest moves midday morgan stanley beyond meat uber tesla,1
43,cdc announces first us case coronavirus killed 17 china,1
44,decide whether china coronavirus global health emergency,1
45,paul tudor jones says crazy market reminds early 99,1
46,update 1united tops profit forecasts even boeing 737 max crisis drags,1
47,update 3united beats wall street expectations despite ongoing 737 max delays,1
48,airline stocks asia take hit amid growing coronavirus fears china,1
49,emerging marketslatam assets keel china virus sours risk appetite,1
50,new china virus us announces first case bbc news,0
51,coronavirus claims sixth victim holiday travel stokes risk,1
52,briefcdc says plans expand airport screening airports atlanta chicago week,1
53,cdc expects us cases china coronavirus,1
54,update 4german government bond yield bounces back twoweek lows,1
55,dow fall trump speaks davos china says coronavirus spreads,1
56,emerging marketsassets battered china virus fears mount,1
57,china trying stop spread new coronavirus worst possible time year cnn,0
58,wuhans coronavirus case confirmed washington state cnn,0
59,coronavirus shares asia pacific fall sharply fears mount world news guardian,0
60,us briefing impeachment trial coronavirus gun violence us news guardian,0
61,coronavirus health officials announce first known us case society guardian,0
62,coronavirus airports around world carry screenings science guardian,0
63,chinas travel industry braces wuhan coronavirus disruption cnn,0
64,live animals largest source infection dangers export trade environment guardian,0
65,quickly wuhan virus spread,1
66,us first case new wuhan coronavirus,0
67,arrival new sarslike virus us heightens concerns global spread science haas,1
68,coronavirus warn deadly disease ‘expected spread china abroad’ science news expresscouk,0
69,coronavirus warning us confirms first case disease seattle safe travel travel news travel expresscouk,0
70,coronavirus chinese hospitals testing patients say relatives world news guardian,0
71,coronavirus news virus may spread australia man tested deadly illness world news expresscouk,0
72,coronavirus symptoms coronavirus come deadly expresscouk,0
73,coronavirus coronavirus spread expresscouk,0
74,dow tumbles first case coronavirus united states cnn,0
75,coronavirus us outbreak coronavirus symptoms avoid deadly virus expresscouk,0
76,hong kong leads asian markets lower credit downgrade coronavirus fears cnn,0
77,us airline stocks fall coronavirus fears cnn,0
78,china confirms wuhan virus spread humans cnn,0
79,premarket stocks netflix went toetotoe disney cnn,0
80,5 things know stock market opens january 21 2020,1
81,climate change hfc emissions rapidly rising china india could blame science news expresscouk,0
82,vaccine new chinese coronavirus works cnn,0
83,dimer offers new germkilling robot disinfect airplanes key us airports protect passengers coronavirus outbreak,1
84,vir biotechnology applying multiple platforms address public heath risk wuhan coronavirus,1
85,coronavirus spreads europe two people hospitalized russia uk alert world news expresscouk,0
86,china coronavirus mapped coronavirus struck china world news expresscouk,0
87,type 2 diabetes symptoms signs high blood sugar include flexor tenosynovitis expresscouk,0
88,coronavirus outbreak china traced snakes sciencedaily,1
89,coronavirus outbreak horror fears deadly virus ‘could mutate’ death toll rises world news expresscouk,0
90,stomach bloating drinking peppermint tea could reduce abdominal pain bloating expresscouk,0
91,coronavirus latest warning latest warning deadly disease symptoms spot expresscouk,0
92,coronavirus emergency meeting postpone emergency decision expresscouk,0
93,coronavirus deadly disease sparks fears global financial meltdown ‘watch out’ world news expresscouk,0
94,china coronavirus humantohuman transmission confirmed dangerous coronavirus world news expresscouk,0
95,coronavirus live least nine dead horror virus sweeps globe expresscouk,0
96,coronavirus china tells doctors hold people stop spread virus world news expresscouk,0
97,watch today trump blasts fed boeing predicts delay virus spreads us,1
98,coronavirus latest briton feared diagnosed china’s coronavirus bird flu world news expresscouk,0
99,coronavirus ’mutates’ sparking global health emergency fears – cases double 440 world news expresscouk,0
100,coronavirus safe travel thailand china virus kills nine latest news travel news travel expresscouk,0
101,coronavirus uk britain upgrades risk deadly virus latest advice news expresscouk,0
102,coronavirus outbreak could virus reach uk spreading wuhan thailand expresscouk,0
103,experts cant agree wuhan virus global crisis wired,0
104,china coronavirus deaths rise 17 heightening global alarm,1
